----------Creating Processes----------
Process: P0 	Size: 31 	Arrival Time: 44 	Run Time: 2 
[0:00.4] Process: P63, Page Referenced: 31, Page-in-memory: 5, Process Evicted: -1
[0:00.4] Process: P67, Page Referenced: 25, Page-in-memory: 6, Process Evicted: -1
[0:00.5] Process: P22, Page Referenced: 24, Page-in-memory: 7, Process Evicted: -1
[0:00.5] Process: P63, Page Referenced: 30, Page-in-memory: 3
[0:00.5] Process: P67, Page Referenced: 26, Page-in-memory: 4
[0:00.6] Process: P22, Page Referenced: 23, Page-in-memory: 8, Process Evicted: -1
[0:00.6] Process: P63, Page Referenced: 31, Page-in-memory: 5
[0:00.6] Process: P67, Page Referenced: 27, Page-in-memory: 9, Process Evicted: -1
[0:00.7] Process: P22, Page Referenced: 18, Page-in-memory: 10, Process Evicted: -1
[0:00.7] Process: P63, Page Referenced: 9, Page-in-memory: 11, Process Evicted: -1
[0:00.7] Process: P67, Page Referenced: 28, Page-in-memory: 12, Process Evicted: -1
[0:00.8] Process: P22, Page Referenced: 18, Page-in-memory: 10
[0:00.8] Process: P63, Page Referenced: 2, Page-in-memory: 13, Process Evicted: -1
[0:00.8] Process: P67, Page Referenced: 25, Page-in-memory: 6
[0:00.9] Process: P22, Page Referenced: 11, Page-in-memory: 14, Process Evicted: -1
[0:00.9] Process: P63, Page Referenced: 3, Page-in-memory: 15, Process Evicted: -1
[0:00.9] Process: P67, Page Referenced: 29, Page-in-memory: 16, Process Evicted: -1
[0:01.0] Process: P22, Page Referenced: 10, Page-in-memory: 17, Process Evicted: -1
[0:01.0] Process: P63, Page Referenced: 1, Page-in-memory: 18, Process Evicted: -1
[0:01.0] Process: P67, Page Referenced: 27, Page-in-memory: 9
[0:01.0] Process: P76, Enter, Size: 11, Service Duration: 2
Memory-map: P76P22P22P63P67P63P67P22P22P67P22P63P67P63P22P63P67P22P63.................................................................................
[0:01.1] Process: P22, Page Referenced: 9, Page-in-memory: 19, Process Evicted: -1
[0:01.1] Process: P63, Page Referenced: 2, Page-in-memory: 13
[0:01.1] Process: P67, Page Referenced: 23, Page-in-memory: 20, Process Evicted: -1
[0:01.1] Process: P76, Page Referenced: 10, Page-in-memory: 21, Process Evicted: -1
[0:01.1] Process: P123, Enter, Size: 31, Service Duration: 2
Memory-map: P123P22P22P63P67P63P67P22P22P67P22P63P67P63P22P63P67P22P63P22P67P76..............................................................................
[0:01.2] Process: P22, Page Referenced: 17, Page-in-memory: 22, Process Evicted: -1
[0:01.2] Process: P63, Page Referenced: 3, Page-in-memory: 15
[0:01.2] Process: P67, Page Referenced: 30, Page-in-memory: 23, Process Evicted: -1
[0:01.2] Process: P76, Page Referenced: 4, Page-in-memory: 24, Process Evicted: -1
[0:01.2] Process: P123, Page Referenced: 16, Page-in-memory: 25, Process Evicted: -1
[0:01.3] Process: P22, Page Referenced: 16, Page-in-memory: 26, Process Evicted: -1
[0:01.3] Process: P63, Page Referenced: 8, Page-in-memory: 27, Process Evicted: -1
[0:01.3] Process: P67, Page Referenced: 6, Page-in-memory: 28, Process Evicted: -1
[0:01.3] Process: P76, Page Referenced: 1, Page-in-memory: 29, Process Evicted: -1
[0:01.3] Process: P123, Page Referenced: 4, Page-in-memory: 30, Process Evicted: -1
[0:01.4] Process: P22, Page Referenced: 3, Page-in-memory: 31, Process Evicted: -1
[0:01.4] Process: P63, Page Referenced: 7, Page-in-memory: 32, Process Evicted: -1
[0:01.4] Process: P67, Page Referenced: 2, Page-in-memory: 33, Process Evicted: -1
[0:01.4] Process: P76, Page Referenced: 2, Page-in-memory: 34, Process Evicted: -1
[0:01.4] Process: P123, Page Referenced: 0, Page-in-memory: 0
[0:01.5] Process: P22, Page Referenced: 4, Page-in-memory: 35, Process Evicted: -1
[0:01.5] Process: P63, Page Referenced: 24, Page-in-memory: 36, Process Evicted: -1
[0:01.5] Process: P67, Page Referenced: 3, Page-in-memory: 37, Process Evicted: -1
[0:01.5] Process: P76, Page Referenced: 2, Page-in-memory: 34
[0:01.5] Process: P123, Page Referenced: 15, Page-in-memory: 38, Process Evicted: -1
[0:01.6] Process: P22, Page Referenced: 3, Page-in-memory: 31
[0:01.6] Process: P63, Page Referenced: 29, Page-in-memory: 39, Process Evicted: -1
[0:01.6] Process: P67, Page Referenced: 4, Page-in-memory: 40, Process Evicted: -1
[0:01.6] Process: P76, Page Referenced: 2, Page-in-memory: 34
[0:01.6] Process: P123, Page Referenced: 16, Page-in-memory: 25
[0:01.7] Process: P22, Page Referenced: 3, Page-in-memory: 31
[0:01.7] Process: P63, Page Referenced: 28, Page-in-memory: 41, Process Evicted: -1
[0:01.7] Process: P67, Page Referenced: 0, Page-in-memory: 0
[0:01.7] Process: P76, Page Referenced: 3, Page-in-memory: 42, Process Evicted: -1
[0:01.7] Process: P123, Page Referenced: 16, Page-in-memory: 25
[0:01.8] Process: P22, Page Referenced: 19, Page-in-memory: 43, Process Evicted: -1
[0:01.8] Process: P63, Page Referenced: 27, Page-in-memory: 44, Process Evicted: -1
[0:01.8] Process: P67, Page Referenced: 10, Page-in-memory: 45, Process Evicted: -1
[0:01.8] Process: P76, Page Referenced: 4, Page-in-memory: 24
[0:01.8] Process: P123, Page Referenced: 28, Page-in-memory: 46, Process Evicted: -1
[0:01.9] Process: P22, Page Referenced: 26, Page-in-memory: 47, Process Evicted: -1
[0:01.9] Process: P63, Page Referenced: 10, Page-in-memory: 48, Process Evicted: -1
[0:01.9] Process: P67, Page Referenced: 8, Page-in-memory: 49, Process Evicted: -1
[0:01.9] Process: P76, Page Referenced: 5, Page-in-memory: 50, Process Evicted: -1
[0:01.9] Process: P123, Page Referenced: 13, Page-in-memory: 51, Process Evicted: -1
[0:02.0] Process: P22, Page Referenced: 25, Page-in-memory: 52, Process Evicted: -1
[0:02.0] Process: P63, Page Referenced: 4, Page-in-memory: 53, Process Evicted: -1
[0:02.0] Process: P67, Page Referenced: 8, Page-in-memory: 49
[0:02.0] Process: P76, Page Referenced: 4, Page-in-memory: 24
[0:02.0] Process: P123, Page Referenced: 12, Page-in-memory: 54, Process Evicted: -1
[0:02.0] Process: P1, Enter, Size: 31, Service Duration: 1
Memory-map: P1P22P22P63P67P63P67P22P22P67P22P63P67P63P22P63P67P22P63P22P67P76P22P67P76P123P22P63P67P76P123P22P63P67P76P22P63P67P123P63P67P63P76P22P63P67P123P22P63P67P76P123P22P63P123.............................................
[0:02.1] Process: P22, Exit, Size: 31, Service Duration: 2
Memory-map: P1P22P22P63P67P63P67P22P22P67P22P63P67P63P22P63P67P22P63P22P67P76P22P67P76P123P22P63P67P76P123P22P63P67P76P22P63P67P123P63P67P63P76P22P63P67P123P22P63P67P76P123P22P63P123.............................................
[0:02.1] Process: P63, Page Referenced: 5, Page-in-memory: 55, Process Evicted: -1
[0:02.1] Process: P67, Page Referenced: 8, Page-in-memory: 49
[0:02.1] Process: P76, Page Referenced: 5, Page-in-memory: 50
[0:02.1] Process: P123, Page Referenced: 12, Page-in-memory: 54
[0:02.1] Process: P1, Page Referenced: 1, Page-in-memory: 56, Process Evicted: -1
[0:02.1] Process: P3, Enter, Size: 17, Service Duration: 5
Memory-map: P3P22P22P63P67P63P67P22P22P67P22P63P67P63P22P63P67P22P63P22P67P76P22P67P76P123P22P63P67P76P123P22P63P67P76P22P63P67P123P63P67P63P76P22P63P67P123P22P63P67P76P123P22P63P123P63P1...........................................
[0:02.2] Process: P63, Page Referenced: 25, Page-in-memory: 57, Process Evicted: -1
[0:02.2] Process: P67, Page Referenced: 9, Page-in-memory: 58, Process Evicted: -1
[0:02.2] Process: P76, Page Referenced: 6, Page-in-memory: 59, Process Evicted: -1
[0:02.2] Process: P123, Page Referenced: 12, Page-in-memory: 54
[0:02.2] Process: P1, Page Referenced: 19, Page-in-memory: 60, Process Evicted: -1
[0:02.2] Process: P3, Page Referenced: 16, Page-in-memory: 61, Process Evicted: -1
[0:02.2] Process: P126, Enter, Size: 31, Service Duration: 1
Memory-map: P126P22P22P63P67P63P67P22P22P67P22P63P67P63P22P63P67P22P63P22P67P76P22P67P76P123P22P63P67P76P123P22P63P67P76P22P63P67P123P63P67P63P76P22P63P67P123P22P63P67P76P123P22P63P123P63P1P63P67P76P1P3......................................
[0:02.3] Process: P63, Page Referenced: 24, Page-in-memory: 36
[0:02.3] Process: P67, Exit, Size: 31, Service Duration: 2
Memory-map: P126P22P22P63P67P63P67P22P22P67P22P63P67P63P22P63P67P22P63P22P67P76P22P67P76P123P22P63P67P76P123P22P63P67P76P22P63P67P123P63P67P63P76P22P63P67P123P22P63P67P76P123P22P63P123P63P1P63P67P76P1P3......................................
[0:02.3] Process: P76, Page Referenced: 7, Page-in-memory: 62, Process Evicted: -1
[0:02.3] Process: P123, Page Referenced: 11, Page-in-memory: 63, Process Evicted: -1
[0:02.3] Process: P1, Page Referenced: 20, Page-in-memory: 64, Process Evicted: -1
[0:02.3] Process: P3, Page Referenced: 16, Page-in-memory: 61
[0:02.3] Process: P126, Page Referenced: 0, Page-in-memory: 0
[0:02.4] Process: P63, Page Referenced: 24, Page-in-memory: 36
[0:02.4] Process: P76, Page Referenced: 6, Page-in-memory: 59
[0:02.4] Process: P123, Page Referenced: 12, Page-in-memory: 54
[0:02.4] Process: P1, Page Referenced: 21, Page-in-memory: 65, Process Evicted: -1
[0:02.4] Process: P3, Page Referenced: 9, Page-in-memory: 66, Process Evicted: -1
[0:02.4] Process: P126, Page Referenced: 2, Page-in-memory: 67, Process Evicted: -1
[0:02.5] Process: P63, Page Referenced: 25, Page-in-memory: 57
[0:02.5] Process: P76, Page Referenced: 1, Page-in-memory: 29
[0:02.5] Process: P123, Page Referenced: 12, Page-in-memory: 54
[0:02.5] Process: P1, Page Referenced: 20, Page-in-memory: 64
[0:02.5] Process: P3, Page Referenced: 14, Page-in-memory: 68, Process Evicted: -1
[0:02.5] Process: P126, Page Referenced: 1, Page-in-memory: 69, Process Evicted: -1
[0:02.6] Process: P63, Page Referenced: 26, Page-in-memory: 70, Process Evicted: -1
[0:02.6] Process: P76, Page Referenced: 0, Page-in-memory: 0
[0:02.6] Process: P123, Page Referenced: 11, Page-in-memory: 63
[0:02.6] Process: P1, Page Referenced: 21, Page-in-memory: 65
[0:02.6] Process: P3, Page Referenced: 13, Page-in-memory: 71, Process Evicted: -1
[0:02.6] Process: P126, Page Referenced: 16, Page-in-memory: 72, Process Evicted: -1
[0:02.7] Process: P63, Page Referenced: 26, Page-in-memory: 70
[0:02.7] Process: P76, Page Referenced: 10, Page-in-memory: 21
[0:02.7] Process: P123, Page Referenced: 6, Page-in-memory: 73, Process Evicted: -1
[0:02.7] Process: P1, Page Referenced: 20, Page-in-memory: 64
[0:02.7] Process: P3, Page Referenced: 12, Page-in-memory: 74, Process Evicted: -1
[0:02.7] Process: P126, Page Referenced: 27, Page-in-memory: 75, Process Evicted: -1
[0:02.8] Process: P63, Page Referenced: 21, Page-in-memory: 76, Process Evicted: -1
[0:02.8] Process: P76, Page Referenced: 10, Page-in-memory: 21
[0:02.8] Process: P123, Page Referenced: 6, Page-in-memory: 73
[0:02.8] Process: P1, Page Referenced: 17, Page-in-memory: 77, Process Evicted: -1
[0:02.8] Process: P3, Page Referenced: 14, Page-in-memory: 68
[0:02.8] Process: P126, Page Referenced: 29, Page-in-memory: 78, Process Evicted: -1
[0:02.9] Process: P63, Page Referenced: 21, Page-in-memory: 76
[0:02.9] Process: P76, Page Referenced: 3, Page-in-memory: 42
[0:02.9] Process: P123, Page Referenced: 6, Page-in-memory: 73
[0:02.9] Process: P1, Page Referenced: 18, Page-in-memory: 79, Process Evicted: -1
[0:02.9] Process: P3, Page Referenced: 15, Page-in-memory: 80, Process Evicted: -1
[0:02.9] Process: P126, Page Referenced: 28, Page-in-memory: 81, Process Evicted: -1
[0:03.0] Process: P63, Page Referenced: 27, Page-in-memory: 44
[0:03.0] Process: P76, Page Referenced: 3, Page-in-memory: 42
[0:03.0] Process: P123, Page Referenced: 7, Page-in-memory: 82, Process Evicted: -1
[0:03.0] Process: P1, Page Referenced: 17, Page-in-memory: 77
[0:03.0] Process: P3, Page Referenced: 15, Page-in-memory: 80
[0:03.0] Process: P126, Page Referenced: 27, Page-in-memory: 75
[0:03.0] Process: P43, Enter, Size: 5, Service Duration: 2
Memory-map: P43P22P22P63P67P63P67P22P22P67P22P63P67P63P22P63P67P22P63P22P67P76P22P67P76P123P22P63P67P76P123P22P63P67P76P22P63P67P123P63P67P63P76P22P63P67P123P22P63P67P76P123P22P63P123P63P1P63P67P76P1P3P76P123P1P1P3P126P3P126P63P3P126P123P3P126P63P1P126P1P3P126P123.................
[0:03.1] Process: P63, Page Referenced: 26, Page-in-memory: 70
[0:03.1] Process: P76, Exit, Size: 11, Service Duration: 2
Memory-map: P43P22P22P63P67P63P67P22P22P67P22P63P67P63P22P63P67P22P63P22P67P76P22P67P76P123P22P63P67P76P123P22P63P67P76P22P63P67P123P63P67P63P76P22P63P67P123P22P63P67P76P123P22P63P123P63P1P63P67P76P1P3P76P123P1P1P3P126P3P126P63P3P126P123P3P126P63P1P126P1P3P126P123.................
[0:03.1] Process: P123, Page Referenced: 7, Page-in-memory: 82
[0:03.1] Process: P1, Exit, Size: 31, Service Duration: 1
Memory-map: P43P22P22P63P67P63P67P22P22P67P22P63P67P63P22P63P67P22P63P22P67P76P22P67P76P123P22P63P67P76P123P22P63P67P76P22P63P67P123P63P67P63P76P22P63P67P123P22P63P67P76P123P22P63P123P63P1P63P67P76P1P3P76P123P1P1P3P126P3P126P63P3P126P123P3P126P63P1P126P1P3P126P123.................
[0:03.1] Process: P3, Page Referenced: 15, Page-in-memory: 80
[0:03.1] Process: P126, Page Referenced: 4, Page-in-memory: 83, Process Evicted: -1
[0:03.1] Process: P43, Page Referenced: 0, Page-in-memory: 0
[0:03.1] Process: P51, Enter, Size: 17, Service Duration: 4
Memory-map: P51P22P22P63P67P63P67P22P22P67P22P63P67P63P22P63P67P22P63P22P67P76P22P67P76P123P22P63P67P76P123P22P63P67P76P22P63P67P123P63P67P63P76P22P63P67P123P22P63P67P76P123P22P63P123P63P1P63P67P76P1P3P76P123P1P1P3P126P3P126P63P3P126P123P3P126P63P1P126P1P3P126P123P126................
[0:03.2] Process: P63, Page Referenced: 27, Page-in-memory: 44
[0:03.2] Process: P123, Exit, Size: 31, Service Duration: 2
Memory-map: P51P22P22P63P67P63P67P22P22P67P22P63P67P63P22P63P67P22P63P22P67P76P22P67P76P123P22P63P67P76P123P22P63P67P76P22P63P67P123P63P67P63P76P22P63P67P123P22P63P67P76P123P22P63P123P63P1P63P67P76P1P3P76P123P1P1P3P126P3P126P63P3P126P123P3P126P63P1P126P1P3P126P123P126................
[0:03.2] Process: P3, Page Referenced: 14, Page-in-memory: 68
[0:03.2] Process: P126, Page Referenced: 1, Page-in-memory: 69
[0:03.2] Process: P43, Page Referenced: 1, Page-in-memory: 84, Process Evicted: -1
[0:03.2] Process: P51, Page Referenced: 16, Page-in-memory: 85, Process Evicted: -1
[0:03.3] Process: P63, Page Referenced: 26, Page-in-memory: 70
[0:03.3] Process: P3, Page Referenced: 14, Page-in-memory: 68
[0:03.3] Process: P126, Exit, Size: 31, Service Duration: 1
Memory-map: P51P22P22P63P67P63P67P22P22P67P22P63P67P63P22P63P67P22P63P22P67P76P22P67P76P123P22P63P67P76P123P22P63P67P76P22P63P67P123P63P67P63P76P22P63P67P123P22P63P67P76P123P22P63P123P63P1P63P67P76P1P3P76P123P1P1P3P126P3P126P63P3P126P123P3P126P63P1P126P1P3P126P123P126P43P51..............
[0:03.3] Process: P43, Page Referenced: 4, Page-in-memory: 86, Process Evicted: -1
[0:03.3] Process: P51, Page Referenced: 15, Page-in-memory: 87, Process Evicted: -1
[0:03.4] Process: P63, Page Referenced: 27, Page-in-memory: 44
[0:03.4] Process: P3, Page Referenced: 15, Page-in-memory: 80
[0:03.4] Process: P43, Page Referenced: 3, Page-in-memory: 88, Process Evicted: -1
[0:03.4] Process: P51, Page Referenced: 1, Page-in-memory: 89, Process Evicted: -1
[0:03.5] Process: P63, Page Referenced: 28, Page-in-memory: 41
[0:03.5] Process: P3, Page Referenced: 4, Page-in-memory: 90, Process Evicted: -1
[0:03.5] Process: P43, Page Referenced: 4, Page-in-memory: 86
[0:03.5] Process: P51, Page Referenced: 2, Page-in-memory: 91, Process Evicted: -1
[0:03.6] Process: P63, Page Referenced: 29, Page-in-memory: 39
[0:03.6] Process: P3, Page Referenced: 3, Page-in-memory: 92, Process Evicted: -1
[0:03.6] Process: P43, Page Referenced: 4, Page-in-memory: 86
[0:03.6] Process: P51, Page Referenced: 1, Page-in-memory: 89
[0:03.7] Process: P63, Page Referenced: 26, Page-in-memory: 70
