----------Creating Processes----------
Process: A 	Size: 17 	Arrival Time: 5 	Run Time: 5 
[0:02.0] Process: 6, Enter, Size: 17, Service Duration: 3
Memory-map: 6AnnAAnQSQ2rnSrQ2SrQrS2.............................................................................
[0:02.1] Process: A, Exit, Size: 5, Service Duration: 2
Memory-map: 6AnnAAnQSQ2rnSrQ2SrQrS2.............................................................................
[0:02.1] Process: n, Page Referenced: 9, Page-in-memory: 23, Process Evicted: .
[0:02.1] Process: Q, Exit, Size: 11, Service Duration: 1
Memory-map: 6AnnAAnQSQ2rnSrQ2SrQrS2n............................................................................
[0:02.1] Process: S, Page Referenced: 0, Page-in-memory: 0
[0:02.1] Process: 2, Page Referenced: 0, Page-in-memory: 0
[0:02.1] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:02.1] Process: 6, Page Referenced: 1, Page-in-memory: 24, Process Evicted: .
[0:02.1] Process: B, Enter, Size: 31, Service Duration: 5
Memory-map: BAnnAAnQSQ2rnSrQ2SrQrS2n6...........................................................................
[0:02.2] Process: n, Page Referenced: 0, Page-in-memory: 0
[0:02.2] Process: S, Page Referenced: 0, Page-in-memory: 0
[0:02.2] Process: 2, Page Referenced: 7, Page-in-memory: 25, Process Evicted: .
[0:02.2] Process: r, Page Referenced: 4, Page-in-memory: 26, Process Evicted: .
[0:02.2] Process: 6, Page Referenced: 16, Page-in-memory: 27, Process Evicted: .
[0:02.2] Process: B, Page Referenced: 0, Page-in-memory: 0
[0:02.2] Process: x, Enter, Size: 11, Service Duration: 1
Memory-map: xAnnAAnQSQ2rnSrQ2SrQrS2n62r6........................................................................
[0:02.3] Process: n, Page Referenced: 1, Page-in-memory: 3
[0:02.3] Process: S, Page Referenced: 0, Page-in-memory: 0
[0:02.3] Process: 2, Page Referenced: 10, Page-in-memory: 16
[0:02.3] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:02.3] Process: 6, Page Referenced: 0, Page-in-memory: 0
[0:02.3] Process: B, Page Referenced: 1, Page-in-memory: 28, Process Evicted: .
[0:02.3] Process: x, Page Referenced: 1, Page-in-memory: 29, Process Evicted: .
[0:02.3] Process: F, Enter, Size: 11, Service Duration: 5
Memory-map: FAnnAAnQSQ2rnSrQ2SrQrS2n62r6Bx......................................................................
[0:02.4] Process: n, Page Referenced: 20, Page-in-memory: 30, Process Evicted: .
[0:02.4] Process: S, Page Referenced: 1, Page-in-memory: 13
[0:02.4] Process: 2, Page Referenced: 1, Page-in-memory: 10
[0:02.4] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:02.4] Process: 6, Page Referenced: 15, Page-in-memory: 31, Process Evicted: .
[0:02.4] Process: B, Page Referenced: 0, Page-in-memory: 0
[0:02.4] Process: x, Page Referenced: 6, Page-in-memory: 32, Process Evicted: .
[0:02.4] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:02.4] Process: I, Enter, Size: 5, Service Duration: 2
Memory-map: IAnnAAnQSQ2rnSrQ2SrQrS2n62r6Bxn6x...................................................................
[0:02.5] Process: n, Page Referenced: 0, Page-in-memory: 0
[0:02.5] Process: S, Page Referenced: 4, Page-in-memory: 17
[0:02.5] Process: 2, Page Referenced: 7, Page-in-memory: 25
[0:02.5] Process: r, Page Referenced: 16, Page-in-memory: 20
[0:02.5] Process: 6, Page Referenced: 0, Page-in-memory: 0
[0:02.5] Process: B, Page Referenced: 15, Page-in-memory: 33, Process Evicted: .
[0:02.5] Process: x, Page Referenced: 0, Page-in-memory: 0
[0:02.5] Process: F, Page Referenced: 10, Page-in-memory: 34, Process Evicted: .
[0:02.5] Process: I, Page Referenced: 0, Page-in-memory: 0
[0:02.6] Process: n, Page Referenced: 0, Page-in-memory: 0
[0:02.6] Process: S, Page Referenced: 0, Page-in-memory: 0
[0:02.6] Process: 2, Page Referenced: 0, Page-in-memory: 0
[0:02.6] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:02.6] Process: 6, Page Referenced: 16, Page-in-memory: 27
[0:02.6] Process: B, Page Referenced: 30, Page-in-memory: 35, Process Evicted: .
[0:02.6] Process: x, Page Referenced: 0, Page-in-memory: 0
[0:02.6] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:02.6] Process: I, Page Referenced: 1, Page-in-memory: 36, Process Evicted: .
[0:02.7] Process: n, Page Referenced: 3, Page-in-memory: 37, Process Evicted: .
[0:02.7] Process: S, Page Referenced: 0, Page-in-memory: 0
[0:02.7] Process: 2, Page Referenced: 0, Page-in-memory: 0
[0:02.7] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:02.7] Process: 6, Page Referenced: 1, Page-in-memory: 24
[0:02.7] Process: B, Page Referenced: 0, Page-in-memory: 0
[0:02.7] Process: x, Page Referenced: 9, Page-in-memory: 38, Process Evicted: .
[0:02.7] Process: F, Page Referenced: 10, Page-in-memory: 34
[0:02.7] Process: I, Page Referenced: 0, Page-in-memory: 0
[0:02.8] Process: n, Page Referenced: 1, Page-in-memory: 3
[0:02.8] Process: S, Page Referenced: 2, Page-in-memory: 8
[0:02.8] Process: 2, Page Referenced: 10, Page-in-memory: 16
[0:02.8] Process: r, Page Referenced: 9, Page-in-memory: 39, Process Evicted: .
[0:02.8] Process: 6, Page Referenced: 0, Page-in-memory: 0
[0:02.8] Process: B, Page Referenced: 30, Page-in-memory: 35
[0:02.8] Process: x, Page Referenced: 0, Page-in-memory: 0
[0:02.8] Process: F, Page Referenced: 1, Page-in-memory: 40, Process Evicted: .
[0:02.8] Process: I, Page Referenced: 1, Page-in-memory: 36
[0:02.9] Process: n, Page Referenced: 30, Page-in-memory: 2
[0:02.9] Process: S, Page Referenced: 1, Page-in-memory: 13
[0:02.9] Process: 2, Page Referenced: 10, Page-in-memory: 16
[0:02.9] Process: r, Page Referenced: 13, Page-in-memory: 41, Process Evicted: .
[0:02.9] Process: 6, Page Referenced: 0, Page-in-memory: 0
[0:02.9] Process: B, Page Referenced: 1, Page-in-memory: 28
[0:02.9] Process: x, Page Referenced: 0, Page-in-memory: 0
[0:02.9] Process: F, Page Referenced: 10, Page-in-memory: 34
[0:02.9] Process: I, Page Referenced: 1, Page-in-memory: 36
[0:03.0] Process: n, Page Referenced: 0, Page-in-memory: 0
[0:03.0] Process: S, Page Referenced: 0, Page-in-memory: 0
[0:03.0] Process: 2, Page Referenced: 1, Page-in-memory: 10
[0:03.0] Process: r, Page Referenced: 16, Page-in-memory: 20
[0:03.0] Process: 6, Page Referenced: 16, Page-in-memory: 27
[0:03.0] Process: B, Page Referenced: 2, Page-in-memory: 42, Process Evicted: .
[0:03.0] Process: x, Page Referenced: 6, Page-in-memory: 32
[0:03.0] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:03.0] Process: I, Page Referenced: 4, Page-in-memory: 43, Process Evicted: .
[0:03.0] Process: h, Enter, Size: 5, Service Duration: 2
Memory-map: hAnnAAnQSQ2rnSrQ2SrQrS2n62r6Bxn6xBFBInxrFrBI........................................................
[0:03.1] Process: n, Page Referenced: 30, Page-in-memory: 2
[0:03.1] Process: S, Page Referenced: 0, Page-in-memory: 0
[0:03.1] Process: 2, Page Referenced: 10, Page-in-memory: 16
[0:03.1] Process: r, Page Referenced: 16, Page-in-memory: 20
[0:03.1] Process: 6, Page Referenced: 0, Page-in-memory: 0
[0:03.1] Process: B, Page Referenced: 30, Page-in-memory: 35
[0:03.1] Process: x, Page Referenced: 0, Page-in-memory: 0
[0:03.1] Process: F, Page Referenced: 1, Page-in-memory: 40
[0:03.1] Process: I, Page Referenced: 1, Page-in-memory: 36
[0:03.1] Process: h, Page Referenced: 0, Page-in-memory: 0
[0:03.2] Process: n, Exit, Size: 31, Service Duration: 3
Memory-map: hAnnAAnQSQ2rnSrQ2SrQrS2n62r6Bxn6xBFBInxrFrBI........................................................
[0:03.2] Process: S, Page Referenced: 2, Page-in-memory: 8
[0:03.2] Process: 2, Page Referenced: 0, Page-in-memory: 0
[0:03.2] Process: r, Page Referenced: 16, Page-in-memory: 20
[0:03.2] Process: 6, Page Referenced: 16, Page-in-memory: 27
[0:03.2] Process: B, Page Referenced: 30, Page-in-memory: 35
[0:03.2] Process: x, Page Referenced: 10, Page-in-memory: 44, Process Evicted: .
[0:03.2] Process: F, Page Referenced: 10, Page-in-memory: 34
[0:03.2] Process: I, Page Referenced: 4, Page-in-memory: 43
[0:03.2] Process: h, Page Referenced: 0, Page-in-memory: 0
[0:03.3] Process: S, Page Referenced: 0, Page-in-memory: 0
[0:03.3] Process: 2, Exit, Size: 11, Service Duration: 2
Memory-map: hAnnAAnQSQ2rnSrQ2SrQrS2n62r6Bxn6xBFBInxrFrBIx.......................................................
[0:03.3] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:03.3] Process: 6, Page Referenced: 0, Page-in-memory: 0
[0:03.3] Process: B, Page Referenced: 0, Page-in-memory: 0
[0:03.3] Process: x, Exit, Size: 11, Service Duration: 1
Memory-map: hAnnAAnQSQ2rnSrQ2SrQrS2n62r6Bxn6xBFBInxrFrBIx.......................................................
[0:03.3] Process: F, Page Referenced: 10, Page-in-memory: 34
[0:03.3] Process: I, Page Referenced: 1, Page-in-memory: 36
[0:03.3] Process: h, Page Referenced: 2, Page-in-memory: 45, Process Evicted: .
[0:03.4] Process: S, Page Referenced: 3, Page-in-memory: 21
[0:03.4] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:03.4] Process: 6, Page Referenced: 4, Page-in-memory: 46, Process Evicted: .
[0:03.4] Process: B, Page Referenced: 0, Page-in-memory: 0
[0:03.4] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:03.4] Process: I, Page Referenced: 0, Page-in-memory: 0
[0:03.4] Process: h, Page Referenced: 1, Page-in-memory: 47, Process Evicted: .
[0:03.5] Process: S, Page Referenced: 1, Page-in-memory: 13
[0:03.5] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:03.5] Process: 6, Page Referenced: 0, Page-in-memory: 0
[0:03.5] Process: B, Page Referenced: 0, Page-in-memory: 0
[0:03.5] Process: F, Page Referenced: 1, Page-in-memory: 40
[0:03.5] Process: I, Page Referenced: 0, Page-in-memory: 0
[0:03.5] Process: h, Page Referenced: 0, Page-in-memory: 0
[0:03.6] Process: S, Page Referenced: 0, Page-in-memory: 0
[0:03.6] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:03.6] Process: 6, Page Referenced: 16, Page-in-memory: 27
[0:03.6] Process: B, Page Referenced: 0, Page-in-memory: 0
[0:03.6] Process: F, Page Referenced: 4, Page-in-memory: 48, Process Evicted: .
[0:03.6] Process: I, Page Referenced: 4, Page-in-memory: 43
[0:03.6] Process: h, Page Referenced: 1, Page-in-memory: 47
[0:03.7] Process: S, Page Referenced: 4, Page-in-memory: 17
[0:03.7] Process: r, Page Referenced: 8, Page-in-memory: 49, Process Evicted: .
[0:03.7] Process: 6, Page Referenced: 8, Page-in-memory: 50, Process Evicted: .
[0:03.7] Process: B, Page Referenced: 30, Page-in-memory: 35
[0:03.7] Process: F, Page Referenced: 1, Page-in-memory: 40
[0:03.7] Process: I, Page Referenced: 1, Page-in-memory: 36
[0:03.7] Process: h, Page Referenced: 3, Page-in-memory: 51, Process Evicted: .
[0:03.8] Process: S, Page Referenced: 0, Page-in-memory: 0
[0:03.8] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:03.8] Process: 6, Page Referenced: 16, Page-in-memory: 27
[0:03.8] Process: B, Page Referenced: 16, Page-in-memory: 52, Process Evicted: .
[0:03.8] Process: F, Page Referenced: 10, Page-in-memory: 34
[0:03.8] Process: I, Page Referenced: 3, Page-in-memory: 53, Process Evicted: .
[0:03.8] Process: h, Page Referenced: 0, Page-in-memory: 0
[0:03.9] Process: S, Page Referenced: 0, Page-in-memory: 0
[0:03.9] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:03.9] Process: 6, Page Referenced: 16, Page-in-memory: 27
[0:03.9] Process: B, Page Referenced: 0, Page-in-memory: 0
