----------Creating Processes----------
Process: P0 	Size: 11 	Arrival Time: 27 	Run Time: 3 
Process: P36 	Size: 31 	Arrival Time: 1 	Run Time: 1 
Process: P37 	Size: 11 	Arrival Time: 13 	Run Time: 1 
Process: P38 	Size: 31 	Arrival Time: 41 	Run Time: 3 
Process: P39 	Size: 11 	Arrival Time: 18 	Run Time: 3 
Process: P40 	Size: 5 	Arrival Time: 36 	Run Time: 2 
Process: P41 	Size: 31 	Arrival Time: 9 	Run Time: 1 
Process: P42 	Size: 17 	Arrival Time: 15 	Run Time: 5 
Process: P43 	Size: 5 	Arrival Time: 43 	Run Time: 3 
Process: P44 	Size: 31 	Arrival Time: 51 	Run Time: 2 
Process: P45 	Size: 31 	Arrival Time: 54 	Run Time: 3 
Process: P46 	Size: 17 	Arrival Time: 21 	Run Time: 5 
Process: P47 	Size: 11 	Arrival Time: 30 	Run Time: 5 
Process: P48 	Size: 11 	Arrival Time: 41 	Run Time: 2 
Process: P49 	Size: 11 	Arrival Time: 10 	Run Time: 2 
Process: P50 	Size: 17 	Arrival Time: 50 	Run Time: 5 
Process: P51 	Size: 31 	Arrival Time: 21 	Run Time: 1 
Process: P52 	Size: 5 	Arrival Time: 12 	Run Time: 2 
Process: P53 	Size: 11 	Arrival Time: 52 	Run Time: 2 
Process: P54 	Size: 5 	Arrival Time: 23 	Run Time: 3 
Process: P55 	Size: 11 	Arrival Time: 39 	Run Time: 4 
Process: P56 	Size: 5 	Arrival Time: 37 	Run Time: 5 
Process: P57 	Size: 5 	Arrival Time: 22 	Run Time: 2 
Process: P58 	Size: 11 	Arrival Time: 15 	Run Time: 3 
Process: P59 	Size: 5 	Arrival Time: 33 	Run Time: 3 
Process: P60 	Size: 11 	Arrival Time: 47 	Run Time: 1 
Process: P61 	Size: 17 	Arrival Time: 18 	Run Time: 4 
Process: P62 	Size: 11 	Arrival Time: 19 	Run Time: 3 
Process: P63 	Size: 31 	Arrival Time: 12 	Run Time: 1 
Process: P64 	Size: 5 	Arrival Time: 44 	Run Time: 1 
Process: P65 	Size: 5 	Arrival Time: 9 	Run Time: 5 
Process: P66 	Size: 31 	Arrival Time: 17 	Run Time: 4 
Process: P67 	Size: 17 	Arrival Time: 1 	Run Time: 4 
Process: P68 	Size: 5 	Arrival Time: 35 	Run Time: 4 
Process: P69 	Size: 17 	Arrival Time: 31 	Run Time: 4 
Process: P70 	Size: 31 	Arrival Time: 9 	Run Time: 2 
Process: P71 	Size: 17 	Arrival Time: 47 	Run Time: 5 
Process: P72 	Size: 17 	Arrival Time: 36 	Run Time: 1 
Process: P73 	Size: 31 	Arrival Time: 43 	Run Time: 3 
Process: P74 	Size: 5 	Arrival Time: 59 	Run Time: 4 
Process: P75 	Size: 5 	Arrival Time: 52 	Run Time: 1 
Process: P76 	Size: 5 	Arrival Time: 31 	Run Time: 3 
Process: P77 	Size: 5 	Arrival Time: 1 	Run Time: 5 
Process: P78 	Size: 31 	Arrival Time: 45 	Run Time: 2 
Process: P79 	Size: 17 	Arrival Time: 32 	Run Time: 3 
Process: P80 	Size: 11 	Arrival Time: 23 	Run Time: 4 
Process: P81 	Size: 5 	Arrival Time: 9 	Run Time: 4 
Process: P82 	Size: 17 	Arrival Time: 3 	Run Time: 5 
Process: P83 	Size: 17 	Arrival Time: 2 	Run Time: 4 
Process: P84 	Size: 31 	Arrival Time: 6 	Run Time: 5 
Process: P85 	Size: 31 	Arrival Time: 23 	Run Time: 2 
Process: P86 	Size: 11 	Arrival Time: 31 	Run Time: 3 
Process: P87 	Size: 11 	Arrival Time: 7 	Run Time: 2 
Process: P88 	Size: 17 	Arrival Time: 19 	Run Time: 2 
Process: P89 	Size: 17 	Arrival Time: 29 	Run Time: 1 
Process: P90 	Size: 11 	Arrival Time: 2 	Run Time: 4 
Process: P91 	Size: 17 	Arrival Time: 39 	Run Time: 5 
Process: P92 	Size: 17 	Arrival Time: 45 	Run Time: 4 
Process: P93 	Size: 17 	Arrival Time: 31 	Run Time: 3 
Process: P94 	Size: 17 	Arrival Time: 2 	Run Time: 2 
Process: P95 	Size: 17 	Arrival Time: 54 	Run Time: 2 
Process: P96 	Size: 11 	Arrival Time: 15 	Run Time: 3 
Process: P97 	Size: 5 	Arrival Time: 24 	Run Time: 2 
Process: P98 	Size: 5 	Arrival Time: 6 	Run Time: 1 
Process: P99 	Size: 11 	Arrival Time: 12 	Run Time: 5 
Process: P100 	Size: 31 	Arrival Time: 50 	Run Time: 5 
Process: P101 	Size: 31 	Arrival Time: 16 	Run Time: 4 
Process: P102 	Size: 11 	Arrival Time: 2 	Run Time: 4 
Process: P103 	Size: 17 	Arrival Time: 52 	Run Time: 2 
Process: P104 	Size: 11 	Arrival Time: 23 	Run Time: 2 
Process: P105 	Size: 31 	Arrival Time: 25 	Run Time: 1 
Process: P106 	Size: 5 	Arrival Time: 6 	Run Time: 3 
Process: P107 	Size: 5 	Arrival Time: 34 	Run Time: 5 
Process: P108 	Size: 5 	Arrival Time: 50 	Run Time: 1 
Process: P109 	Size: 17 	Arrival Time: 48 	Run Time: 1 
Process: P110 	Size: 17 	Arrival Time: 43 	Run Time: 1 
Process: P111 	Size: 5 	Arrival Time: 58 	Run Time: 4 
Process: P112 	Size: 11 	Arrival Time: 51 	Run Time: 1 
Process: P113 	Size: 31 	Arrival Time: 1 	Run Time: 3 
Process: P114 	Size: 5 	Arrival Time: 39 	Run Time: 3 
Process: P115 	Size: 5 	Arrival Time: 42 	Run Time: 3 
Process: P116 	Size: 17 	Arrival Time: 27 	Run Time: 2 
Process: P117 	Size: 5 	Arrival Time: 15 	Run Time: 3 
Process: P118 	Size: 17 	Arrival Time: 15 	Run Time: 4 
Process: P119 	Size: 17 	Arrival Time: 38 	Run Time: 4 
Process: P120 	Size: 31 	Arrival Time: 52 	Run Time: 2 
Process: P121 	Size: 17 	Arrival Time: 0 	Run Time: 2 
Process: P122 	Size: 11 	Arrival Time: 41 	Run Time: 1 
Process: P123 	Size: 17 	Arrival Time: 24 	Run Time: 2 
Process: P124 	Size: 5 	Arrival Time: 56 	Run Time: 1 
Process: P125 	Size: 5 	Arrival Time: 49 	Run Time: 1 
Process: P126 	Size: 17 	Arrival Time: 19 	Run Time: 3 
Process: P127 	Size: 17 	Arrival Time: 11 	Run Time: 3 
Process: P128 	Size: 5 	Arrival Time: 5 	Run Time: 1 
Process: P129 	Size: 11 	Arrival Time: 52 	Run Time: 4 
Process: P130 	Size: 17 	Arrival Time: 43 	Run Time: 1 
Process: P131 	Size: 17 	Arrival Time: 22 	Run Time: 1 
Process: P132 	Size: 11 	Arrival Time: 11 	Run Time: 4 
Process: P133 	Size: 31 	Arrival Time: 58 	Run Time: 3 
Process: P134 	Size: 17 	Arrival Time: 42 	Run Time: 1 
Process: P135 	Size: 11 	Arrival Time: 30 	Run Time: 5 
Process: P136 	Size: 17 	Arrival Time: 48 	Run Time: 2 
Process: P137 	Size: 17 	Arrival Time: 50 	Run Time: 3 
Process: P138 	Size: 11 	Arrival Time: 39 	Run Time: 1 
Process: P139 	Size: 5 	Arrival Time: 28 	Run Time: 5 
Process: P140 	Size: 11 	Arrival Time: 43 	Run Time: 3 
Process: P141 	Size: 17 	Arrival Time: 5 	Run Time: 5 
Process: P142 	Size: 31 	Arrival Time: 34 	Run Time: 4 
Process: P143 	Size: 11 	Arrival Time: 53 	Run Time: 2 
Process: P144 	Size: 31 	Arrival Time: 56 	Run Time: 1 
Process: P145 	Size: 17 	Arrival Time: 29 	Run Time: 1 
Process: P146 	Size: 11 	Arrival Time: 59 	Run Time: 2 
Process: P147 	Size: 5 	Arrival Time: 1 	Run Time: 4 
Process: P148 	Size: 31 	Arrival Time: 42 	Run Time: 3 
Process: P149 	Size: 31 	Arrival Time: 19 	Run Time: 4 
----------Processes Created----------
----------Beginning FIFO Paging Algorithm----------
Memory-map: ....................................................................................................
[0:00.0] Process: P121, Enter, Size: 17, Service Duration: 2
Memory-map: P121...................................................................................................
[0:00.1] Process: P121, Page Referenced: 1, Page-in-memory: 1, Process Evicted: -1
[0:00.2] Process: P121, Page Referenced: 1, Page-in-memory: 1
[0:00.3] Process: P121, Page Referenced: 0, Page-in-memory: 0
[0:00.4] Process: P121, Page Referenced: 0, Page-in-memory: 0
[0:00.5] Process: P121, Page Referenced: 0, Page-in-memory: 0
[0:00.6] Process: P121, Page Referenced: 1, Page-in-memory: 1
[0:00.7] Process: P121, Page Referenced: 16, Page-in-memory: 2, Process Evicted: -1
[0:00.8] Process: P121, Page Referenced: 15, Page-in-memory: 3, Process Evicted: -1
[0:00.9] Process: P121, Page Referenced: 13, Page-in-memory: 4, Process Evicted: -1
[0:01.0] Process: P121, Page Referenced: 12, Page-in-memory: 5, Process Evicted: -1
[0:01.0] Process: P36, Enter, Size: 31, Service Duration: 1
Memory-map: P36P121P121P121P121P121..............................................................................................
[0:01.1] Process: P121, Page Referenced: 11, Page-in-memory: 6, Process Evicted: -1
[0:01.1] Process: P36, Page Referenced: 1, Page-in-memory: 7, Process Evicted: -1
[0:01.1] Process: P67, Enter, Size: 17, Service Duration: 4
Memory-map: P67P121P121P121P121P121P121P36............................................................................................
[0:01.2] Process: P121, Page Referenced: 15, Page-in-memory: 3
[0:01.2] Process: P36, Page Referenced: 0, Page-in-memory: 0
[0:01.2] Process: P67, Page Referenced: 0, Page-in-memory: 0
[0:01.2] Process: P77, Enter, Size: 5, Service Duration: 5
Memory-map: P77P121P121P121P121P121P121P36............................................................................................
[0:01.3] Process: P121, Page Referenced: 4, Page-in-memory: 8, Process Evicted: -1
[0:01.3] Process: P36, Page Referenced: 6, Page-in-memory: 9, Process Evicted: -1
[0:01.3] Process: P67, Page Referenced: 16, Page-in-memory: 10, Process Evicted: -1
[0:01.3] Process: P77, Page Referenced: 0, Page-in-memory: 0
[0:01.3] Process: P113, Enter, Size: 31, Service Duration: 3
Memory-map: P113P121P121P121P121P121P121P36P121P36P67.........................................................................................
[0:01.4] Process: P121, Page Referenced: 16, Page-in-memory: 2
[0:01.4] Process: P36, Page Referenced: 1, Page-in-memory: 7
[0:01.4] Process: P67, Page Referenced: 5, Page-in-memory: 11, Process Evicted: -1
[0:01.4] Process: P77, Page Referenced: 0, Page-in-memory: 0
[0:01.4] Process: P113, Page Referenced: 20, Page-in-memory: 12, Process Evicted: -1
[0:01.4] Process: P147, Enter, Size: 5, Service Duration: 4
Memory-map: P147P121P121P121P121P121P121P36P121P36P67P67P113.......................................................................................
[0:01.5] Process: P121, Page Referenced: 17, Page-in-memory: 13, Process Evicted: -1
[0:01.5] Process: P36, Page Referenced: 0, Page-in-memory: 0
[0:01.5] Process: P67, Page Referenced: 5, Page-in-memory: 11
[0:01.5] Process: P77, Page Referenced: 1, Page-in-memory: 14, Process Evicted: -1
[0:01.5] Process: P113, Page Referenced: 13, Page-in-memory: 15, Process Evicted: -1
[0:01.5] Process: P147, Page Referenced: 1, Page-in-memory: 16, Process Evicted: -1
[0:01.6] Process: P121, Page Referenced: 16, Page-in-memory: 2
[0:01.6] Process: P36, Page Referenced: 1, Page-in-memory: 7
[0:01.6] Process: P67, Page Referenced: 4, Page-in-memory: 17, Process Evicted: -1
[0:01.6] Process: P77, Page Referenced: 2, Page-in-memory: 18, Process Evicted: -1
[0:01.6] Process: P113, Page Referenced: 9, Page-in-memory: 19, Process Evicted: -1
[0:01.6] Process: P147, Page Referenced: 4, Page-in-memory: 20, Process Evicted: -1
[0:01.7] Process: P121, Page Referenced: 15, Page-in-memory: 3
[0:01.7] Process: P36, Page Referenced: 10, Page-in-memory: 21, Process Evicted: -1
[0:01.7] Process: P67, Page Referenced: 4, Page-in-memory: 17
[0:01.7] Process: P77, Page Referenced: 1, Page-in-memory: 14
[0:01.7] Process: P113, Page Referenced: 8, Page-in-memory: 22, Process Evicted: -1
[0:01.7] Process: P147, Page Referenced: 2, Page-in-memory: 23, Process Evicted: -1
[0:01.8] Process: P121, Page Referenced: 5, Page-in-memory: 24, Process Evicted: -1
[0:01.8] Process: P36, Page Referenced: 10, Page-in-memory: 21
[0:01.8] Process: P67, Page Referenced: 0, Page-in-memory: 0
[0:01.8] Process: P77, Page Referenced: 0, Page-in-memory: 0
[0:01.8] Process: P113, Page Referenced: 8, Page-in-memory: 22
[0:01.8] Process: P147, Page Referenced: 2, Page-in-memory: 23
[0:01.9] Process: P121, Page Referenced: 6, Page-in-memory: 25, Process Evicted: -1
[0:01.9] Process: P36, Page Referenced: 9, Page-in-memory: 26, Process Evicted: -1
[0:01.9] Process: P67, Page Referenced: 1, Page-in-memory: 27, Process Evicted: -1
[0:01.9] Process: P77, Page Referenced: 1, Page-in-memory: 14
[0:01.9] Process: P113, Page Referenced: 9, Page-in-memory: 19
[0:01.9] Process: P147, Page Referenced: 2, Page-in-memory: 23
[0:02.0] Process: P121, Page Referenced: 10, Page-in-memory: 28, Process Evicted: -1
[0:02.0] Process: P36, Page Referenced: 10, Page-in-memory: 21
[0:02.0] Process: P67, Page Referenced: 7, Page-in-memory: 29, Process Evicted: -1
[0:02.0] Process: P77, Page Referenced: 2, Page-in-memory: 18
[0:02.0] Process: P113, Page Referenced: 20, Page-in-memory: 12
[0:02.0] Process: P147, Page Referenced: 4, Page-in-memory: 20
[0:02.0] Process: P33, Enter, Size: 31, Service Duration: 3
Memory-map: P33P121P121P121P121P121P121P36P121P36P67P67P113P121P77P113P147P67P77P113P147P36P113P147P121P121P36P67P121P67......................................................................
[0:02.1] Process: P121, Exit, Size: 17, Service Duration: 2
Memory-map: P33P121P121P121P121P121P121P36P121P36P67P67P113P121P77P113P147P67P77P113P147P36P113P147P121P121P36P67P121P67......................................................................
[0:02.1] Process: P36, Exit, Size: 31, Service Duration: 1
Memory-map: P33P121P121P121P121P121P121P36P121P36P67P67P113P121P77P113P147P67P77P113P147P36P113P147P121P121P36P67P121P67......................................................................
[0:02.1] Process: P67, Page Referenced: 8, Page-in-memory: 30, Process Evicted: -1
[0:02.1] Process: P77, Page Referenced: 2, Page-in-memory: 18
[0:02.1] Process: P113, Page Referenced: 28, Page-in-memory: 31, Process Evicted: -1
[0:02.1] Process: P147, Page Referenced: 0, Page-in-memory: 0
[0:02.1] Process: P33, Page Referenced: 1, Page-in-memory: 32, Process Evicted: -1
[0:02.1] Process: P83, Enter, Size: 17, Service Duration: 4
Memory-map: P83P121P121P121P121P121P121P36P121P36P67P67P113P121P77P113P147P67P77P113P147P36P113P147P121P121P36P67P121P67P67P113P33...................................................................
[0:02.2] Process: P67, Page Referenced: 8, Page-in-memory: 30
[0:02.2] Process: P77, Page Referenced: 0, Page-in-memory: 0
[0:02.2] Process: P113, Page Referenced: 30, Page-in-memory: 33, Process Evicted: -1
[0:02.2] Process: P147, Page Referenced: 4, Page-in-memory: 20
[0:02.2] Process: P33, Page Referenced: 11, Page-in-memory: 34, Process Evicted: -1
[0:02.2] Process: P83, Page Referenced: 0, Page-in-memory: 0
[0:02.2] Process: P90, Enter, Size: 11, Service Duration: 4
Memory-map: P90P121P121P121P121P121P121P36P121P36P67P67P113P121P77P113P147P67P77P113P147P36P113P147P121P121P36P67P121P67P67P113P33P113P33.................................................................
[0:02.3] Process: P67, Page Referenced: 7, Page-in-memory: 29
[0:02.3] Process: P77, Page Referenced: 0, Page-in-memory: 0
[0:02.3] Process: P113, Page Referenced: 30, Page-in-memory: 33
[0:02.3] Process: P147, Page Referenced: 1, Page-in-memory: 16
[0:02.3] Process: P33, Page Referenced: 27, Page-in-memory: 35, Process Evicted: -1
[0:02.3] Process: P83, Page Referenced: 1, Page-in-memory: 36, Process Evicted: -1
[0:02.3] Process: P90, Page Referenced: 10, Page-in-memory: 37, Process Evicted: -1
[0:02.3] Process: P94, Enter, Size: 17, Service Duration: 2
Memory-map: P94P121P121P121P121P121P121P36P121P36P67P67P113P121P77P113P147P67P77P113P147P36P113P147P121P121P36P67P121P67P67P113P33P113P33P33P83P90..............................................................
[0:02.4] Process: P67, Page Referenced: 2, Page-in-memory: 38, Process Evicted: -1
[0:02.4] Process: P77, Page Referenced: 4, Page-in-memory: 39, Process Evicted: -1
[0:02.4] Process: P113, Page Referenced: 2, Page-in-memory: 40, Process Evicted: -1
[0:02.4] Process: P147, Page Referenced: 3, Page-in-memory: 41, Process Evicted: -1
[0:02.4] Process: P33, Page Referenced: 27, Page-in-memory: 35
[0:02.4] Process: P83, Page Referenced: 1, Page-in-memory: 36
[0:02.4] Process: P90, Page Referenced: 10, Page-in-memory: 37
[0:02.4] Process: P94, Page Referenced: 14, Page-in-memory: 42, Process Evicted: -1
[0:02.4] Process: P102, Enter, Size: 11, Service Duration: 4
Memory-map: P102P121P121P121P121P121P121P36P121P36P67P67P113P121P77P113P147P67P77P113P147P36P113P147P121P121P36P67P121P67P67P113P33P113P33P33P83P90P67P77P113P147P94.........................................................
[0:02.5] Process: P67, Page Referenced: 7, Page-in-memory: 29
[0:02.5] Process: P77, Page Referenced: 0, Page-in-memory: 0
[0:02.5] Process: P113, Page Referenced: 3, Page-in-memory: 43, Process Evicted: -1
[0:02.5] Process: P147, Page Referenced: 4, Page-in-memory: 20
[0:02.5] Process: P33, Page Referenced: 2, Page-in-memory: 44, Process Evicted: -1
[0:02.5] Process: P83, Page Referenced: 6, Page-in-memory: 45, Process Evicted: -1
[0:02.5] Process: P90, Page Referenced: 9, Page-in-memory: 46, Process Evicted: -1
[0:02.5] Process: P94, Page Referenced: 14, Page-in-memory: 42
[0:02.5] Process: P102, Page Referenced: 1, Page-in-memory: 47, Process Evicted: -1
[0:02.6] Process: P67, Page Referenced: 12, Page-in-memory: 48, Process Evicted: -1
[0:02.6] Process: P77, Page Referenced: 1, Page-in-memory: 14
[0:02.6] Process: P113, Page Referenced: 3, Page-in-memory: 43
[0:02.6] Process: P147, Page Referenced: 1, Page-in-memory: 16
[0:02.6] Process: P33, Page Referenced: 2, Page-in-memory: 44
[0:02.6] Process: P83, Page Referenced: 6, Page-in-memory: 45
[0:02.6] Process: P90, Page Referenced: 9, Page-in-memory: 46
[0:02.6] Process: P94, Page Referenced: 13, Page-in-memory: 49, Process Evicted: -1
[0:02.6] Process: P102, Page Referenced: 0, Page-in-memory: 0
[0:02.7] Process: P67, Page Referenced: 12, Page-in-memory: 48
[0:02.7] Process: P77, Page Referenced: 4, Page-in-memory: 39
[0:02.7] Process: P113, Page Referenced: 2, Page-in-memory: 40
[0:02.7] Process: P147, Page Referenced: 1, Page-in-memory: 16
[0:02.7] Process: P33, Page Referenced: 27, Page-in-memory: 35
[0:02.7] Process: P83, Page Referenced: 6, Page-in-memory: 45
[0:02.7] Process: P90, Page Referenced: 8, Page-in-memory: 50, Process Evicted: -1
[0:02.7] Process: P94, Page Referenced: 14, Page-in-memory: 42
[0:02.7] Process: P102, Page Referenced: 3, Page-in-memory: 51, Process Evicted: -1
[0:02.8] Process: P67, Page Referenced: 11, Page-in-memory: 52, Process Evicted: -1
[0:02.8] Process: P77, Page Referenced: 1, Page-in-memory: 14
[0:02.8] Process: P113, Page Referenced: 3, Page-in-memory: 43
[0:02.8] Process: P147, Page Referenced: 1, Page-in-memory: 16
[0:02.8] Process: P33, Page Referenced: 26, Page-in-memory: 53, Process Evicted: -1
[0:02.8] Process: P83, Page Referenced: 5, Page-in-memory: 54, Process Evicted: -1
[0:02.8] Process: P90, Page Referenced: 10, Page-in-memory: 37
[0:02.8] Process: P94, Page Referenced: 0, Page-in-memory: 0
[0:02.8] Process: P102, Page Referenced: 10, Page-in-memory: 55, Process Evicted: -1
[0:02.9] Process: P67, Page Referenced: 10, Page-in-memory: 56, Process Evicted: -1
[0:02.9] Process: P77, Page Referenced: 1, Page-in-memory: 14
[0:02.9] Process: P113, Page Referenced: 3, Page-in-memory: 43
[0:02.9] Process: P147, Page Referenced: 2, Page-in-memory: 23
[0:02.9] Process: P33, Page Referenced: 28, Page-in-memory: 57, Process Evicted: -1
[0:02.9] Process: P83, Page Referenced: 1, Page-in-memory: 36
[0:02.9] Process: P90, Page Referenced: 0, Page-in-memory: 0
[0:02.9] Process: P94, Page Referenced: 1, Page-in-memory: 58, Process Evicted: -1
[0:02.9] Process: P102, Page Referenced: 11, Page-in-memory: 59, Process Evicted: -1
[0:03.0] Process: P67, Page Referenced: 9, Page-in-memory: 60, Process Evicted: -1
[0:03.0] Process: P77, Page Referenced: 4, Page-in-memory: 39
[0:03.0] Process: P113, Page Referenced: 4, Page-in-memory: 61, Process Evicted: -1
[0:03.0] Process: P147, Page Referenced: 2, Page-in-memory: 23
[0:03.0] Process: P33, Page Referenced: 30, Page-in-memory: 62, Process Evicted: -1
[0:03.0] Process: P83, Page Referenced: 2, Page-in-memory: 63, Process Evicted: -1
[0:03.0] Process: P90, Page Referenced: 0, Page-in-memory: 0
[0:03.0] Process: P94, Page Referenced: 12, Page-in-memory: 64, Process Evicted: -1
[0:03.0] Process: P102, Page Referenced: 11, Page-in-memory: 59
[0:03.0] Process: P82, Enter, Size: 17, Service Duration: 5
Memory-map: P82P121P121P121P121P121P121P36P121P36P67P67P113P121P77P113P147P67P77P113P147P36P113P147P121P121P36P67P121P67P67P113P33P113P33P33P83P90P67P77P113P147P94P113P33P83P90P102P67P94P90P102P67P33P83P102P67P33P94P102P67P113P33P83P94...................................
[0:03.1] Process: P67, Page Referenced: 16, Page-in-memory: 10
[0:03.1] Process: P77, Page Referenced: 5, Page-in-memory: 65, Process Evicted: -1
[0:03.1] Process: P113, Page Referenced: 5, Page-in-memory: 66, Process Evicted: -1
[0:03.1] Process: P147, Page Referenced: 1, Page-in-memory: 16
[0:03.1] Process: P33, Page Referenced: 10, Page-in-memory: 67, Process Evicted: -1
[0:03.1] Process: P83, Page Referenced: 2, Page-in-memory: 63
[0:03.1] Process: P90, Page Referenced: 6, Page-in-memory: 68, Process Evicted: -1
[0:03.1] Process: P94, Page Referenced: 13, Page-in-memory: 49
[0:03.1] Process: P102, Page Referenced: 3, Page-in-memory: 51
[0:03.1] Process: P82, Page Referenced: 4, Page-in-memory: 69, Process Evicted: -1
[0:03.2] Process: P67, Page Referenced: 16, Page-in-memory: 10
[0:03.2] Process: P77, Page Referenced: 5, Page-in-memory: 65
[0:03.2] Process: P113, Page Referenced: 6, Page-in-memory: 70, Process Evicted: -1
[0:03.2] Process: P147, Page Referenced: 3, Page-in-memory: 41
[0:03.2] Process: P33, Page Referenced: 10, Page-in-memory: 67
[0:03.2] Process: P83, Page Referenced: 3, Page-in-memory: 71, Process Evicted: -1
[0:03.2] Process: P90, Page Referenced: 0, Page-in-memory: 0
[0:03.2] Process: P94, Page Referenced: 14, Page-in-memory: 42
[0:03.2] Process: P102, Page Referenced: 8, Page-in-memory: 72, Process Evicted: -1
[0:03.2] Process: P82, Page Referenced: 13, Page-in-memory: 73, Process Evicted: -1
[0:03.3] Process: P67, Page Referenced: 9, Page-in-memory: 60
[0:03.3] Process: P77, Page Referenced: 1, Page-in-memory: 14
[0:03.3] Process: P113, Page Referenced: 6, Page-in-memory: 70
[0:03.3] Process: P147, Page Referenced: 0, Page-in-memory: 0
[0:03.3] Process: P33, Page Referenced: 4, Page-in-memory: 74, Process Evicted: -1
[0:03.3] Process: P83, Page Referenced: 2, Page-in-memory: 63
[0:03.3] Process: P90, Page Referenced: 4, Page-in-memory: 75, Process Evicted: -1
[0:03.3] Process: P94, Page Referenced: 13, Page-in-memory: 49
[0:03.3] Process: P102, Page Referenced: 9, Page-in-memory: 76, Process Evicted: -1
[0:03.3] Process: P82, Page Referenced: 14, Page-in-memory: 77, Process Evicted: -1
[0:03.4] Process: P67, Page Referenced: 9, Page-in-memory: 60
[0:03.4] Process: P77, Page Referenced: 4, Page-in-memory: 39
[0:03.4] Process: P113, Page Referenced: 16, Page-in-memory: 78, Process Evicted: -1
[0:03.4] Process: P147, Page Referenced: 4, Page-in-memory: 20
[0:03.4] Process: P33, Page Referenced: 4, Page-in-memory: 74
[0:03.4] Process: P83, Page Referenced: 2, Page-in-memory: 63
[0:03.4] Process: P90, Page Referenced: 5, Page-in-memory: 79, Process Evicted: -1
[0:03.4] Process: P94, Page Referenced: 16, Page-in-memory: 80, Process Evicted: -1
[0:03.4] Process: P102, Page Referenced: 9, Page-in-memory: 76
[0:03.4] Process: P82, Page Referenced: 14, Page-in-memory: 77
[0:03.5] Process: P67, Page Referenced: 8, Page-in-memory: 30
[0:03.5] Process: P77, Page Referenced: 3, Page-in-memory: 81, Process Evicted: -1
[0:03.5] Process: P113, Page Referenced: 16, Page-in-memory: 78
[0:03.5] Process: P147, Page Referenced: 0, Page-in-memory: 0
[0:03.5] Process: P33, Page Referenced: 23, Page-in-memory: 82, Process Evicted: -1
[0:03.5] Process: P83, Page Referenced: 2, Page-in-memory: 63
[0:03.5] Process: P90, Page Referenced: 5, Page-in-memory: 79
[0:03.5] Process: P94, Page Referenced: 6, Page-in-memory: 83, Process Evicted: -1
[0:03.5] Process: P102, Page Referenced: 9, Page-in-memory: 76
[0:03.5] Process: P82, Page Referenced: 14, Page-in-memory: 77
[0:03.6] Process: P67, Page Referenced: 4, Page-in-memory: 17
[0:03.6] Process: P77, Page Referenced: 4, Page-in-memory: 39
[0:03.6] Process: P113, Page Referenced: 16, Page-in-memory: 78
[0:03.6] Process: P147, Page Referenced: 1, Page-in-memory: 16
[0:03.6] Process: P33, Page Referenced: 26, Page-in-memory: 53
